set_num,name,year,theme_id,num_parts,img_url
40309,Food Accessories,2018,646,30,https://cdn.rebrickable.com/media/sets/40309-1.jpg
40310,Botanical Accessories,2018,646,24,https://cdn.rebrickable.com/media/sets/40310-1.jpg
40311,Traffic Lights,2018,646,46,https://cdn.rebrickable.com/media/sets/40311-1.jpg
40312,Street Lamps,2018,646,34,https://cdn.rebrickable.com/media/sets/40312-1.jpg
40313,Bicycles,2018,646,21,https://cdn.rebrickable.com/media/sets/40313-1.jpg
40314,Dr. Fox Magnifying Machine,2018,625,76,https://cdn.rebrickable.com/media/sets/40314-1.jpg
40315,Ninjago Temple Journey,2018,435,50,https://cdn.rebrickable.com/media/sets/40315-1.jpg
40316,Geoffrey,2018,610,112,https://cdn.rebrickable.com/media/sets/40316-1.jpg
40318,MSC Cruises,2019,471,181,https://cdn.rebrickable.com/media/sets/40318-1.jpg
40320,Plants from Plants,2018,301,29,https://cdn.rebrickable.com/media/sets/40320-1.jpg
40321,Jet Fighter,2019,409,23,https://cdn.rebrickable.com/media/sets/40321-1.jpg
40322,Caterpillar,2019,409,48,https://cdn.rebrickable.com/media/sets/40322-1.jpg
40323,Viking Ship,2019,409,54,https://cdn.rebrickable.com/media/sets/40323-1.jpg
40324,Ladybug,2019,409,27,https://cdn.rebrickable.com/media/sets/40324-1.jpg
40325,Crane,2019,409,64,https://cdn.rebrickable.com/media/sets/40325-1.jpg
40326,Frog,2019,409,39,https://cdn.rebrickable.com/media/sets/40326-1.jpg
40327,Ice Cream Truck,2019,409,48,https://cdn.rebrickable.com/media/sets/40327-1.jpg
40328,Racecar,2019,409,50,https://cdn.rebrickable.com/media/sets/40328-1.jpg
40329,Eagle,2019,409,57,https://cdn.rebrickable.com/media/sets/40329-1.jpg
40330,UFO,2019,409,36,https://cdn.rebrickable.com/media/sets/40330-1.jpg
40331,Wolf,2019,409,47,https://cdn.rebrickable.com/media/sets/40331-1.jpg
40332,Penguin,2019,409,47,https://cdn.rebrickable.com/media/sets/40332-1.jpg
40333,Battle of Hoth - 20th Anniversary Edition,2019,158,195,https://cdn.rebrickable.com/media/sets/40333-1.jpg
40334,Avengers Tower,2019,702,211,https://cdn.rebrickable.com/media/sets/40334-1.jpg
40335,Space Rocket Ride,2019,576,154,https://cdn.rebrickable.com/media/sets/40335-1.jpg
40336,Newbury Juice Bar,2019,676,128,https://cdn.rebrickable.com/media/sets/40336-1.jpg
40337,Mini Gingerbread House,2019,228,499,https://cdn.rebrickable.com/media/sets/40337-1.jpg
40338,Christmas Tree,2019,227,392,https://cdn.rebrickable.com/media/sets/40338-1.jpg
40341,Sea Accessories,2019,646,24,https://cdn.rebrickable.com/media/sets/40341-1.jpg
40342,Minifigure Pack,2019,435,59,https://cdn.rebrickable.com/media/sets/40342-1.jpg
40343,Spider-Man and the Museum Break-In,2019,706,49,https://cdn.rebrickable.com/media/sets/40343-1.jpg
40344,Summer Celebration Minifigure Set,2019,535,45,https://cdn.rebrickable.com/media/sets/40344-1.jpg
40345,Mars Exploration Minifigure Pack,2019,679,44,https://cdn.rebrickable.com/media/sets/40345-1.jpg
40346,LEGOLAND Park,2019,425,1336,https://cdn.rebrickable.com/media/sets/40346-1.jpg
40347,LEGOLAND Driving School,2019,425,209,https://cdn.rebrickable.com/media/sets/40347-1.jpg
40348,Birthday Clown,2019,610,150,https://cdn.rebrickable.com/media/sets/40348-1.jpg
40349,Puppy,2019,610,147,https://cdn.rebrickable.com/media/sets/40349-1.jpg
40350,Chick,2019,610,120,https://cdn.rebrickable.com/media/sets/40350-1.jpg
40351,Ghost,2019,610,136,https://cdn.rebrickable.com/media/sets/40351-1.jpg
40352,Scarecrow,2019,610,177,https://cdn.rebrickable.com/media/sets/40352-1.jpg
40353,"Reindeer, Elf & Elfie",2019,610,281,https://cdn.rebrickable.com/media/sets/40353-1.jpg
40354,Dragon Dance Guy,2019,610,170,https://cdn.rebrickable.com/media/sets/40354-1.jpg
40355,Year Of The Rat,2020,206,162,https://cdn.rebrickable.com/media/sets/40355-1.jpg
40356,LEGO House Mini Chef,2019,599,7,https://cdn.rebrickable.com/media/sets/40356-1.jpg
40357,BYGGLEK,2020,301,201,https://cdn.rebrickable.com/media/sets/40357-1.jpg
40358,"Bean There, Donut That",2018,301,146,https://cdn.rebrickable.com/media/sets/40358-1.jpg
40359,Picture Frame,2019,408,170,https://cdn.rebrickable.com/media/sets/40359-1.jpg
40360,Name Sign,2019,494,91,https://cdn.rebrickable.com/media/sets/40360-1.jpg
40361,Olaf's Traveling Sleigh,2019,687,97,https://cdn.rebrickable.com/media/sets/40361-1.jpg
40362,Battle of Endor - 20th Anniversary Edition,2019,158,197,https://cdn.rebrickable.com/media/sets/40362-1.jpg
40366,LEGO House Dinosaurs,2019,599,865,https://cdn.rebrickable.com/media/sets/40366-1.jpg
40367,Lady Liberty,2019,610,153,https://cdn.rebrickable.com/media/sets/40367-1.jpg
40368,Winter Accessories,2019,646,32,https://cdn.rebrickable.com/media/sets/40368-1.jpg
40370,40 Years of LEGO Trains,2020,598,188,https://cdn.rebrickable.com/media/sets/40370-1.jpg
